wave,sample_size,same,different,missing,divergence_rate,duration_ms,avg_latency_r1_ms,avg_latency_r2_ms
1,100,100,0,0,0.00,606,4.55,4.68
2,100,100,0,0,0.00,1543,14.06,4.21
3,100,100,0,0,0.00,552,4.16,4.31
4,100,100,0,0,0.00,587,4.39,4.58
5,100,100,0,0,0.00,528,4.01,4.04
6,100,100,0,0,0.00,550,3.99,4.19
7,100,100,0,0,0.00,470,3.48,3.37
8,100,100,0,0,0.00,476,3.47,3.48
9,100,100,0,0,0.00,1602,4.29,14.65
10,100,100,0,0,0.00,722,5.72,6.02
11,100,100,0,0,0.00,521,3.90,3.91
12,100,100,0,0,0.00,489,3.63,3.52
13,100,100,0,0,0.00,481,3.50,3.42
14,100,100,0,0,0.00,729,5.96,5.90
15,100,100,0,0,0.00,511,3.86,3.88
16,100,100,0,0,0.00,497,3.65,3.43
17,100,100,0,0,0.00,469,3.42,3.31
18,100,100,0,0,0.00,475,3.46,3.50
19,100,100,0,0,0.00,1651,3.35,15.22
20,100,100,0,0,0.00,590,4.37,4.62
21,100,100,0,0,0.00,513,3.77,3.92
22,100,100,0,0,0.00,532,3.96,4.06
23,100,100,0,0,0.00,1659,3.06,15.25
24,100,100,0,0,0.00,501,3.66,3.68
25,100,100,0,0,0.00,570,4.34,4.45
26,100,100,0,0,0.00,513,3.84,3.90
27,100,100,0,0,0.00,1606,3.17,14.77
28,100,100,0,0,0.00,530,4.03,3.72
29,100,100,0,0,0.00,464,3.41,3.38
30,100,100,0,0,0.00,456,3.33,3.22
31,100,100,0,0,0.00,585,4.45,4.53
32,100,100,0,0,0.00,1460,4.05,13.30
33,100,100,0,0,0.00,1473,3.17,13.44
34,100,100,0,0,0.00,1700,3.04,15.61
35,100,100,0,0,0.00,547,4.01,4.17
36,100,100,0,0,0.00,638,5.01,5.05
37,100,100,0,0,0.00,460,3.08,3.28
38,100,100,0,0,0.00,413,2.77,2.81
39,100,100,0,0,0.00,1531,3.16,14.08
40,100,100,0,0,0.00,1536,2.97,14.02
41,100,100,0,0,0.00,543,4.10,4.14
42,100,100,0,0,0.00,436,3.04,3.01
43,100,100,0,0,0.00,422,2.94,2.92
44,100,100,0,0,0.00,435,3.05,3.10
45,100,100,0,0,0.00,455,3.23,2.97
46,100,100,0,0,0.00,448,3.26,2.99
47,100,99,1,0,1.00,499,3.43,3.61
48,100,99,1,0,1.00,525,3.75,3.96
49,100,100,0,0,0.00,437,3.05,3.07
50,100,100,0,0,0.00,1552,14.31,3.05
51,100,100,0,0,0.00,425,2.93,2.99
52,100,100,0,0,0.00,430,3.01,2.96
53,100,100,0,0,0.00,424,2.96,2.92
54,100,100,0,0,0.00,1538,2.70,14.08
55,100,100,0,0,0.00,475,3.30,3.46
56,100,100,0,0,0.00,1319,11.92,2.92
57,100,100,0,0,0.00,1514,2.56,13.91
58,100,100,0,0,0.00,431,3.01,3.06
59,100,99,1,0,1.00,388,2.53,2.63
60,100,100,0,0,0.00,1549,14.27,3.57
61,100,100,0,0,0.00,1701,15.61,3.33
62,100,100,0,0,0.00,1642,15.13,3.13
63,100,100,0,0,0.00,452,3.25,3.06
64,100,100,0,0,0.00,470,3.42,3.10
65,100,100,0,0,0.00,447,3.10,3.21
66,100,100,0,0,0.00,430,2.93,2.98
67,100,100,0,0,0.00,476,3.53,3.55
68,100,100,0,0,0.00,1374,3.13,12.46
69,100,99,1,0,1.00,514,3.32,3.80
70,100,100,0,0,0.00,570,4.19,4.29
71,100,100,0,0,0.00,599,4.50,4.66
72,100,100,0,0,0.00,671,5.31,5.40
73,100,100,0,0,0.00,440,2.98,3.08
74,100,100,0,0,0.00,442,3.15,3.17
75,100,100,0,0,0.00,474,3.35,3.40
76,100,100,0,0,0.00,1565,3.13,14.36
77,100,100,0,0,0.00,543,4.19,3.78
78,100,100,0,0,0.00,458,3.19,3.17
79,100,100,0,0,0.00,409,2.73,2.76
80,100,100,0,0,0.00,405,2.79,2.77
81,100,100,0,0,0.00,1618,3.07,14.88
82,100,100,0,0,0.00,1512,13.90,3.07
83,100,100,0,0,0.00,471,3.31,3.43
84,100,99,1,0,1.00,456,3.30,3.30
85,100,98,2,0,2.00,574,4.22,4.45
86,100,100,0,0,0.00,420,2.80,3.02
87,100,100,0,0,0.00,418,2.93,2.95
88,100,100,0,0,0.00,407,2.78,2.72
89,100,100,0,0,0.00,469,3.39,3.24
90,100,100,0,0,0.00,1435,2.92,13.07
91,100,99,1,0,1.00,393,2.65,2.64
92,100,100,0,0,0.00,466,3.35,3.01
93,100,100,0,0,0.00,441,3.10,3.02
94,100,100,0,0,0.00,463,3.31,3.31
95,100,100,0,0,0.00,1565,14.35,2.53
96,100,100,0,0,0.00,426,2.98,2.77
97,100,100,0,0,0.00,461,3.02,3.29
98,100,100,0,0,0.00,486,3.29,3.60
99,100,100,0,0,0.00,1332,3.02,12.09
100,100,100,0,0,0.00,432,2.96,3.03
